,name,matchday,event_type,count
280333,Robert Lewandowski,1,awardedPenalty,1
280360,Robert Lewandowski,1,blockedGoalShot,0
280355,Robert Lewandowski,1,causedPenalty,0
280346,Robert Lewandowski,1,cross,0
280364,Robert Lewandowski,1,defended,0
280352,Robert Lewandowski,1,doublePack,0
280361,Robert Lewandowski,1,error,0
280345,Robert Lewandowski,1,farCorner,0
280334,Robert Lewandowski,1,foul,3
280347,Robert Lewandowski,1,freeKick,0
280351,Robert Lewandowski,1,goal,0
280365,Robert Lewandowski,1,goalAgainst,0
280344,Robert Lewandowski,1,goalAssist,0
280335,Robert Lewandowski,1,goalMissedFar,1
280353,Robert Lewandowski,1,hattrick,0
280348,Robert Lewandowski,1,interception,0
280363,Robert Lewandowski,1,lostPenalty,0
280350,Robert Lewandowski,1,missedChance,0
280336,Robert Lewandowski,1,offside,3
280354,Robert Lewandowski,1,ownGoal,0
280337,Robert Lewandowski,1,pass,21
280338,Robert Lewandowski,1,penaltyGoal,1
280358,Robert Lewandowski,1,redCard,0
280362,Robert Lewandowski,1,savedPenalty,0
280357,Robert Lewandowski,1,secondYellowCard,0
280339,Robert Lewandowski,1,shotAtGoal,2
280359,Robert Lewandowski,1,successfulTackle,0
280342,Robert Lewandowski,1,superPass,0
280343,Robert Lewandowski,1,throwIn,0
280340,Robert Lewandowski,1,unsuccessfulPass,6
280349,Robert Lewandowski,1,unsuccessfulPenalty,0
280341,Robert Lewandowski,1,unsuccessfulTackle,5
280356,Robert Lewandowski,1,yellowCard,0
281321,Robert Lewandowski,2,awardedPenalty,0
281327,Robert Lewandowski,2,blockedGoalShot,0
281322,Robert Lewandowski,2,causedPenalty,0
281309,Robert Lewandowski,2,cross,0
281331,Robert Lewandowski,2,defended,0
281316,Robert Lewandowski,2,doublePack,0
281328,Robert Lewandowski,2,error,0
281308,Robert Lewandowski,2,farCorner,0
281320,Robert Lewandowski,2,foul,0
281310,Robert Lewandowski,2,freeKick,0
281315,Robert Lewandowski,2,goal,0
281332,Robert Lewandowski,2,goalAgainst,0
281307,Robert Lewandowski,2,goalAssist,0
281299,Robert Lewandowski,2,goalMissedFar,1
281317,Robert Lewandowski,2,hattrick,0
281311,Robert Lewandowski,2,interception,0
281330,Robert Lewandowski,2,lostPenalty,0
281314,Robert Lewandowski,2,missedChance,0
281300,Robert Lewandowski,2,offside,3
281319,Robert Lewandowski,2,ownGoal,0
281301,Robert Lewandowski,2,pass,6
281318,Robert Lewandowski,2,penaltyGoal,0
281302,Robert Lewandowski,2,playerOn,1
281325,Robert Lewandowski,2,redCard,0
281329,Robert Lewandowski,2,savedPenalty,0
281324,Robert Lewandowski,2,secondYellowCard,0
281312,Robert Lewandowski,2,shotAtGoal,0
281303,Robert Lewandowski,2,successfulTackle,1
281305,Robert Lewandowski,2,superPass,0
281306,Robert Lewandowski,2,throwIn,0
281304,Robert Lewandowski,2,unsuccessfulPass,0
281313,Robert Lewandowski,2,unsuccessfulPenalty,0
281326,Robert Lewandowski,2,unsuccessfulTackle,0
281323,Robert Lewandowski,2,yellowCard,0
282266,Robert Lewandowski,3,awardedPenalty,1
282292,Robert Lewandowski,3,blockedGoalShot,0
282289,Robert Lewandowski,3,causedPenalty,0
282284,Robert Lewandowski,3,cross,0
282297,Robert Lewandowski,3,defended,0
282267,Robert Lewandowski,3,doublePack,1
282294,Robert Lewandowski,3,error,0
282283,Robert Lewandowski,3,farCorner,0
282268,Robert Lewandowski,3,foul,2
282285,Robert Lewandowski,3,freeKick,0
282269,Robert Lewandowski,3,goal,3
282298,Robert Lewandowski,3,goalAgainst,0
282282,Robert Lewandowski,3,goalAssist,0
282270,Robert Lewandowski,3,goalMissedFar,1
282271,Robert Lewandowski,3,hattrick,1
282272,Robert Lewandowski,3,interception,1
282296,Robert Lewandowski,3,lostPenalty,0
282287,Robert Lewandowski,3,missedChance,0
282293,Robert Lewandowski,3,offside,0
