name,position,club_id,matchday,is_home,odds_win,odds_draw,odds_lose,final_score
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,1,False,3.19,3.25,2.34,240
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,2,True,6.99,4.82,1.43,195
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,3,False,3.66,3.56,2.02,304
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,5,False,5.07,4.18,1.64,192
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,6,True,2.03,3.62,3.61,119
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,7,True,2.91,3.54,2.37,153
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,8,False,6.08,4.65,1.5,209
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,9,True,2.42,3.43,2.91,171
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,13,True,3.7,3.7,1.97,140
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,14,False,3.14,3.29,2.35,338
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,15,True,3.3,3.51,2.18,98
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,17,True,12.19,7.08,1.21,146
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,18,True,3.61,3.38,2.11,90
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,19,False,10.8,6.34,1.26,20
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,29,True,2.49,3.21,2.98,207
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,31,True,2.91,3.26,2.54,197
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,32,False,3.25,3.46,2.24,320
 Iago,defender,921bf337-4304-5c3d-8092-b404cdceff6c,33,True,2.59,3.16,2.92,239
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,3,True,2.38,3.62,2.84,112
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,5,False,11.2,7.26,1.22,174
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,13,False,1.97,3.7,3.7,374
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,17,False,2.43,3.47,2.87,216
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,18,False,1.78,3.78,4.5,147
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,19,True,1.79,3.82,4.4,192
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,20,False,2.24,3.81,2.95,170
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,21,True,1.48,4.47,6.53,298
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,22,True,3.95,4.3,1.78,281
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,23,False,1.8,3.76,4.43,173
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,25,False,4.28,3.79,1.81,64
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,27,False,4.2,3.99,1.79,221
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,28,True,2.41,3.43,2.94,135
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,29,False,2.61,3.71,2.54,257
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,30,True,1.44,4.86,7.0,147
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,31,False,2.92,3.76,2.28,19
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,32,True,1.83,4.06,3.96,221
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,33,False,1.22,6.92,12.16,193
 Tuta,defender,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e,34,True,2.07,4.23,3.07,94
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,1,False,2.43,3.44,2.89,68
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,3,False,1.91,3.93,3.7,199
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,7,True,2.36,3.56,2.92,260
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,11,True,1.78,4.2,4.01,64
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,12,False,1.67,4.02,4.95,259
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,17,True,3.11,3.75,2.19,308
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,18,True,2.07,3.63,3.47,37
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,19,False,4.0,3.6,1.93,197
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,21,True,1.45,4.68,6.7,317
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,22,False,1.66,3.94,5.2,327
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,23,True,1.84,3.61,4.37,234
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,24,False,2.65,3.48,2.61,360
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,25,True,1.38,4.98,8.18,323
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,26,False,2.08,3.51,3.5,203
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,27,True,1.23,6.48,12.45,117
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,28,False,2.38,3.57,2.87,208
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,29,True,1.64,3.91,5.55,102
 Wendell,defender,abee2e16-c361-5d60-93ac-437af3739580,30,False,6.48,4.96,1.45,21
