is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
0.0,3.25,2.34,3.19,0.0,0,0,1
1.0,4.82,1.43,6.99,0.0,0,0,1
0.0,3.56,2.02,3.66,0.0,0,0,1
1.0,4.52,1.53,5.76,0.0,0,0,1
0.0,4.18,1.64,5.07,0.0,0,0,1
1.0,3.62,3.61,2.03,0.0,0,0,1
1.0,3.54,2.37,2.91,0.0,0,0,1
0.0,4.65,1.5,6.08,0.0,0,0,1
1.0,3.43,2.91,2.42,0.0,0,0,1
0.0,3.92,1.84,3.97,0.0,0,0,1
1.0,3.6,3.98,1.92,0.0,0,0,1
0.0,3.18,2.87,2.58,0.0,0,0,1
1.0,3.7,1.97,3.7,0.0,0,0,1
0.0,3.29,2.35,3.14,0.0,0,0,1
1.0,3.51,2.18,3.3,0.0,0,0,1
0.0,3.3,2.2,3.44,0.0,0,0,1
1.0,7.08,1.21,12.19,1.0,0,0,1
1.0,3.38,2.11,3.61,1.0,0,0,1
0.0,6.34,1.26,10.8,1.0,0,0,1
1.0,3.58,1.82,4.58,0.0,0,0,1
0.0,5.97,1.26,11.32,0.0,0,0,1
1.0,3.94,1.66,5.2,0.0,0,0,1
0.0,3.54,2.08,3.49,0.0,0,0,1
0.0,3.47,1.97,3.98,0.0,0,0,1
1.0,3.73,1.86,4.19,0.0,0,0,1
0.0,3.55,1.96,3.89,0.0,0,0,1
1.0,3.72,1.97,3.66,0.0,0,0,1
0.0,3.34,3.22,2.29,0.0,0,0,1
1.0,3.21,2.98,2.49,0.0,0,0,1
0.0,4.86,1.44,7.0,0.0,0,0,1
1.0,3.26,2.54,2.91,0.0,0,0,1
0.0,3.46,2.24,3.25,0.0,0,0,1
1.0,3.16,2.92,2.59,0.0,0,0,1
0.0,9.9,1.13,18.62,0.0,0,0,1
1.0,4.19,4.91,1.65,0.0,4,0,1
0.0,3.75,2.28,2.96,0.0,4,0,1
1.0,3.62,2.84,2.38,0.0,4,0,1
0.0,3.78,3.16,2.13,0.0,4,0,1
0.0,7.26,1.22,11.2,1.0,4,0,1
1.0,4.11,4.32,1.75,0.0,4,0,1
0.0,3.66,2.67,2.5,0.0,4,0,1
1.0,3.91,1.91,3.76,0.0,4,0,1
0.0,3.52,2.51,2.73,0.0,4,0,1
1.0,4.0,1.93,3.58,0.0,4,0,1
0.0,3.62,2.34,2.91,0.0,4,0,1
1.0,3.7,2.48,2.68,0.0,4,0,1
0.0,3.7,3.7,1.97,0.0,4,0,1
1.0,3.79,2.09,3.26,0.0,4,0,1
0.0,3.92,3.51,1.97,0.0,4,0,1
1.0,4.47,6.1,1.52,0.0,4,0,1
0.0,3.47,2.87,2.43,0.0,4,0,1
0.0,3.78,4.5,1.78,1.0,4,0,1
1.0,3.82,4.4,1.79,1.0,4,0,1
0.0,3.81,2.95,2.24,1.0,4,0,1
1.0,4.47,6.53,1.48,1.0,4,0,1
1.0,4.3,1.78,3.95,1.0,4,0,1
0.0,3.76,4.43,1.8,1.0,4,0,1
1.0,3.79,3.79,1.93,0.0,4,0,1
0.0,3.79,1.81,4.28,1.0,4,0,1
1.0,3.72,4.09,1.86,0.0,4,0,1
0.0,3.99,1.79,4.2,0.0,4,0,1
1.0,3.43,2.94,2.41,1.0,4,0,1
0.0,3.71,2.54,2.61,1.0,4,0,1
1.0,4.86,7.0,1.44,1.0,4,0,1
0.0,3.76,2.28,2.92,0.0,4,0,1
1.0,4.06,3.96,1.83,0.0,4,0,1
0.0,6.92,12.16,1.22,1.0,4,0,1
1.0,4.23,3.07,2.07,0.0,4,0,1
0.0,3.44,2.89,2.43,0.0,9,0,1
1.0,3.65,2.25,3.03,0.0,9,0,1
0.0,3.93,3.7,1.91,0.0,9,0,1
0.0,4.35,5.13,1.61,0.0,9,0,1
1.0,4.18,5.07,1.64,0.0,9,0,1
0.0,3.57,3.71,2.0,0.0,9,0,1
1.0,3.56,2.92,2.36,1.0,9,0,1
0.0,4.34,5.77,1.55,0.0,9,0,1
1.0,3.87,4.34,1.78,0.0,9,0,1
0.0,4.42,6.11,1.52,0.0,9,0,1
1.0,4.2,4.01,1.78,0.0,9,0,1
0.0,4.02,4.95,1.67,0.0,9,0,1
1.0,4.08,1.84,3.87,0.0,9,0,1
0.0,3.79,3.26,2.09,0.0,9,0,1
1.0,4.59,6.74,1.47,0.0,9,0,1
0.0,3.44,3.25,2.24,0.0,9,0,1
1.0,3.75,2.19,3.11,0.0,9,0,1
1.0,3.63,3.47,2.07,0.0,9,0,1
0.0,3.6,1.93,4.0,1.0,9,0,1
1.0,3.78,3.6,1.99,0.0,9,0,1
1.0,4.68,6.7,1.45,0.0,9,0,1
0.0,3.94,5.2,1.66,0.0,9,0,1
1.0,3.61,4.37,1.84,0.0,9,0,1
0.0,3.48,2.61,2.65,0.0,9,0,1
1.0,4.98,8.18,1.38,1.0,9,0,1
