name,final_score
 Iago,3378
 Tuta,3488
 Wendell,4295
Alassane Plea,4293
Aleksandar Dragovic,4058
Alexander Hack,4670
Alexander Schwolow,4936
Alexander Sorloth,3050
Alphonso Davies,5253
Amadou Haidara,5044
Amin Younes,3262
Amine Harit,3613
Amos Pieper,8784
Anderson-Lenda Lucoqui,3496
Andre Hahn,3909
Andre Silva,9945
Andreas Luthe,7023
Andreas Voglsammer,1799
Andrej Kramaric,8999
Arne Maier,1738
Atakan Karazor,2940
Axel Witsel,2943
Baptiste Santamaría,5383
Bastian Oczipka,3598
Benjamin Pavard,6163
Benjamin Stambouli,4495
Borna Sosa,4926
Breel Embolo,3781
Carlos Gruezo,3324
Cedric Brunner,6043
Charles Aranguiz,3815
Chris Richards,2985
Christian Gentner,1761
Christian Groß,3186
Christian Günter,6329
Christoph Baumgartner,4879
Christoph Kramer,4718
Christopher Lenz,5629
Christopher Nkunku,5814
Christopher Trimmel,6534
Corentin Tolisso,2328
Daichi Kamada,4966
Daley Sinkgraven,4256
Daniel Brosinski,2599
Daniel Caligiuri,6863
Daniel Didavi,2469
Daniel Olmo,6334
Danny Latza,3421
Danny da Costa,2189
David Alaba,8162
Dayot Upamecano,8356
Dedryck Boyata,4071
Denis Zakaria,2952
Deyovaisio Zeefuik,2147
Diadie Samassekou,5744
Djibril Sow,4433
Dodi Lukebakio,3330
Dominick Drexler,2101
Dominik Kohr,3995
Dominique Heintz,4122
Edimilson Fernandes,1873
Edmond Tapsoba,10139
Ellyes Skhiri,8061
Elvis Rexhbecaj,4252
Emil Forsberg,3605
Emre Can,7418
Erik Durm,3457
Erling Haaland,9243
Ermedin Demirovic,2059
Evan N'Dicka,6166
Exequiel Palacios,1787
Fabian Klos,4748
Fabian Kunze,2305
Felix Agu,1952
Felix Uduokhai,8977
Filip Kostic,7186
Florian Grillitsch,6808
Florian Müller,7400
Florian Neuhaus,8054
Florian Niederlechner,2912
Florian Wirtz,4197
Frederik Rönnow,2802
Giovanni Reyna,4706
Gonzalo Castro,3855
Gregor Kobel,7849
Grischa Prömel,3910
Hannes Wolf,1803
Havard Nordtveit,2447
Ibrahima Konate,2021
Ihlas Bebou,4967
Ismail Jakobs,3073
Jacob Barrett Laursen,2591
Jadon Sancho,6559
Jamal Musiala,3420
Jannes Horn,3892
Javier Martínez,1912
Jean-Paul Boetius,3866
Jeffrey Gouweleeuw,7698
Jeremiah St. Juste,7254
Jerome Boateng,7715
Jerome Roussillon,2441
Jhon Cordoba,3097
Jiri Pavlenka,8086
Joakim Nilsson,6070
Joel Pohjanpalo,2350
John Brooks,9344
Jonas Hector,4328
Jonas Hofmann,4869
Jonathan Burkardt,2897
Jonathan Schmid,5915
Jonathan Tah,7603
Jordan Torunarigha,2380
Jorge Mere,3103
Jose Angelino,6391
Joshua Kimmich,9655
Joshua Sargent,4540
Josip Brekalo,5865
Josuha Guilavogui,2117
Jude Bellingham,4191
Julian Baumgartlinger,3082
Julian Brandt,3972
Julian Ryerson,1957
Karim Onisiwo,2500
Kasim Adams,2527
Kerem Demirbay,5534
Keven Schlotterbeck,5016
Kevin Akpoguma,2921
Kevin Kampl,3959
Kevin Mbabu,4249
Kevin Möhwald,4322
Kevin Stöger,1775
Kevin Trapp,8487
Kevin Vogt,5865
Kingsley Coman,5305
Kingsley Ehizibue,2678
Koen Casteels,7593
Konstantinos Mavropanos,5547
Krzysztof Piatek,2061
Lars Bender,3161
Lars Stindl,5988
Laszlo Benes,1939
Leandro Barreiro,4520
Leon Bailey,6190
Leon Goretzka,6426
Leonardo Bittencourt,3588
Leroy Sane,4907
Lucas Alario,3766
Lucas Hernández,5447
Lucas Höler,4619
Lucas Tousart,4290
Ludwig Augustinsson,5175
Lukas Hradecky,6629
Lukas Klostermann,3941
Lukas Kübler,2055
Mads Pedersen,1868
Mahmoud Dahoud,3403
Makoto Hasebe,6059
Malick Thiaw,4034
Manuel Akanji,8708
Manuel Gulde,5286
Manuel Neuer,7371
Manuel Prietl,3858
Marc-Oliver Kempf,9011
Marcel Halstenberg,5784
Marcel Hartel,2748
Marcel Sabitzer,6720
Marco Friedl,7827
Marco John,2126
Marco Reus,6562
Marco Richter,2928
Marcus Ingvartsen,2800
Marcus Thuram,5673
Marius Wolf,5692
Mark Uth,2896
Martin Hinteregger,9187
Marton Dardai,1938
Marvin Friedrich,9775
Marvin Plattenhardt,1979
Marwin Hitz,2866
Mateo Klimowicz,2245
Mateu Morey,2079
Matheus Cunha,5552
Matija Nastasic,3523
Mats Hummels,13366
Matthew Hoppe,1738
Matthias Ginter,10411
Mattéo Guendouzi,4411
Max Kruse,4125
Maxence Lacroix,9307
Maximilian Arnold,8893
Maximilian Eggestein,5384
Maximilian Mittelstädt,5416
Maximilian Philipp,3225
Mike van der Hoorn,4225
Milos Veljkovic,4262
Milot Rashica,2595
Moussa Diaby,4483
Moussa Niakhate,5812
Munas Dabbur,2098
Nadiem Amiri,4334
Niclas Füllkrug,1973
Nico Elvedi,9809
Nico Schlotterbeck,4329
Nicolas Gonzalez,2462
Nicolas Höfler,6045
Niklas Moisander,3620
Niklas Stark,7157
Niklas Süle,5028
Nils Petersen,2482
Noah Katterbach,3020
Nordi Mukiele,4811
