team_name,matchday,is_home,odds_win,odds_draw,odds_lose,club_id
Werder Bremen,20,False,2.3,3.19,3.31,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Bielefeld,20,True,3.31,3.19,2.3,73ee6a0e-0e72-5993-b428-dab897667a53
Hertha,29,False,2.89,3.49,2.41,aaa94999-1b29-5f1e-89e8-1a6441933f80
Hertha,30,True,2.03,3.61,3.62,aaa94999-1b29-5f1e-89e8-1a6441933f80
Hertha,31,False,1.45,4.67,7.0,aaa94999-1b29-5f1e-89e8-1a6441933f80
Mainz,29,True,2.41,3.49,2.89,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,30,False,3.62,3.61,2.03,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,31,True,7.0,4.67,1.45,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,1,True,2.26,3.48,3.16,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,1,False,4.91,4.36,1.63,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,1,True,2.62,3.48,2.64,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,1,False,2.59,3.6,2.6,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,1,True,1.37,5.48,7.5,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,1,False,4.91,4.19,1.65,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,1,True,1.65,4.19,4.91,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,1,True,1.09,11.59,24.69,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,1,False,3.19,3.25,2.34,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,1,False,2.64,3.48,2.62,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,1,False,2.43,3.44,2.89,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,1,True,1.63,4.36,4.91,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,1,True,2.6,3.6,2.59,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,1,True,2.34,3.25,3.19,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,1,True,2.89,3.44,2.43,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,1,False,7.5,5.48,1.37,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,1,False,3.16,3.48,2.26,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,1,False,24.69,11.59,1.09,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,2,False,2.84,3.53,2.42,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,2,True,1.44,4.61,7.3,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,2,False,2.74,3.44,2.55,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,2,True,10.51,6.93,1.23,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,2,False,2.25,3.65,3.03,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,2,True,2.71,3.52,2.53,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,2,False,2.96,3.75,2.28,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,2,False,1.23,6.93,10.51,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,2,True,6.99,4.82,1.43,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,2,True,2.28,3.75,2.96,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,2,True,3.03,3.65,2.25,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,2,False,1.43,4.82,6.99,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,2,False,2.53,3.52,2.71,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,2,False,7.3,4.61,1.44,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,2,False,2.3,3.45,3.06,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,2,True,2.42,3.53,2.84,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,2,True,3.06,3.45,2.3,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,2,True,2.55,3.44,2.74,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,3,True,3.7,3.93,1.91,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,3,False,1.88,3.86,3.89,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,3,True,2.14,3.56,3.3,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,3,False,2.84,3.62,2.38,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,3,True,1.26,6.14,10.84,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,3,False,3.3,3.56,2.14,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,3,True,2.38,3.62,2.84,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,3,True,1.16,8.27,15.23,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,3,False,3.66,3.56,2.02,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,3,False,15.23,8.27,1.16,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,3,False,1.91,3.93,3.7,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,3,True,1.3,5.85,9.31,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,3,True,3.89,3.86,1.88,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,3,True,2.14,3.56,3.37,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,3,True,2.02,3.56,3.66,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,3,False,3.37,3.56,2.14,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,3,False,9.31,5.85,1.3,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,3,False,10.84,6.14,1.26,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,4,False,3.33,3.81,2.06,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,4,True,1.86,3.85,4.01,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,4,False,3.12,3.51,2.26,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,4,True,4.03,4.32,1.76,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,4,False,1.53,4.52,5.76,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,4,True,13.73,7.73,1.19,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,4,False,2.13,3.78,3.16,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,4,False,1.19,7.73,13.73,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,4,True,5.76,4.52,1.53,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,4,True,2.06,3.81,3.33,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,4,False,1.61,4.35,5.13,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,4,False,1.76,4.32,4.03,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,4,True,3.16,3.78,2.13,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,4,False,2.59,3.23,2.82,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,4,False,4.01,3.85,1.86,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,4,True,5.13,4.35,1.61,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,4,True,2.26,3.51,3.12,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,4,True,2.82,3.23,2.59,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,5,True,1.92,3.91,3.75,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,5,False,1.67,4.15,4.82,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,5,True,3.0,3.72,2.25,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,5,False,2.25,3.72,3.0,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,5,True,1.47,4.78,6.34,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,5,False,5.06,3.89,1.69,73ee6a0e-0e72-5993-b428-dab897667a53
