,odd_name,db_name,similarity
0,Augsburg,FC Augsburg,0.7272727272727273
1,Augsburg,Schalke 04,0.0
2,Augsburg,RB Leipzig,0.09999999999999998
3,Augsburg,FC Bayern,0.11111111111111116
4,Augsburg,Borussia Dortmund,0.17647058823529416
5,Augsburg,VfL Wolfsburg,0.3846153846153846
6,Augsburg,Arminia Bielefeld,0.05882352941176472
7,Augsburg,Hoffenheim,0.0
8,Augsburg,Bayer 04,0.0
9,Augsburg,Eintracht Frankfurt,0.10526315789473684
10,Augsburg,SC Freiburg,0.36363636363636365
11,Augsburg,SV Werder,0.0
12,Augsburg,Hertha BSC,0.0
13,Augsburg,1. FC Köln,0.0
14,Augsburg,Mainz 05,0.0
15,Augsburg,Borussia M'gladbach,0.1578947368421053
16,Augsburg,Union Berlin,0.08333333333333337
17,Augsburg,VfB Stuttgart,0.15384615384615385
18,Bayern Munich,FC Augsburg,0.07692307692307687
19,Bayern Munich,Schalke 04,0.0
20,Bayern Munich,RB Leipzig,0.15384615384615385
21,Bayern Munich,FC Bayern,0.23076923076923073
22,Bayern Munich,Borussia Dortmund,0.11764705882352944
23,Bayern Munich,VfL Wolfsburg,0.0
24,Bayern Munich,Arminia Bielefeld,0.05882352941176472
25,Bayern Munich,Hoffenheim,0.15384615384615385
26,Bayern Munich,Bayer 04,0.46153846153846156
27,Bayern Munich,Eintracht Frankfurt,0.1578947368421053
28,Bayern Munich,SC Freiburg,0.15384615384615385
29,Bayern Munich,SV Werder,0.07692307692307687
30,Bayern Munich,Hertha BSC,0.15384615384615385
31,Bayern Munich,1. FC Köln,0.07692307692307687
32,Bayern Munich,Mainz 05,0.15384615384615385
33,Bayern Munich,Borussia M'gladbach,0.26315789473684215
34,Bayern Munich,Union Berlin,0.15384615384615385
35,Bayern Munich,VfB Stuttgart,0.0
36,Bielefeld,FC Augsburg,0.0
37,Bielefeld,Schalke 04,0.09999999999999998
38,Bielefeld,RB Leipzig,0.09999999999999998
39,Bielefeld,FC Bayern,0.11111111111111116
40,Bielefeld,Borussia Dortmund,0.17647058823529416
41,Bielefeld,VfL Wolfsburg,0.07692307692307687
42,Bielefeld,Arminia Bielefeld,0.5294117647058824
43,Bielefeld,Hoffenheim,0.19999999999999996
44,Bielefeld,Bayer 04,0.2222222222222222
45,Bielefeld,Eintracht Frankfurt,0.10526315789473684
46,Bielefeld,SC Freiburg,0.09090909090909094
47,Bielefeld,SV Werder,0.11111111111111116
48,Bielefeld,Hertha BSC,0.0
49,Bielefeld,1. FC Köln,0.09999999999999998
50,Bielefeld,Mainz 05,0.0
51,Bielefeld,Borussia M'gladbach,0.21052631578947367
52,Bielefeld,Union Berlin,0.25
53,Bielefeld,VfB Stuttgart,0.07692307692307687
54,Dortmund,FC Augsburg,0.09090909090909094
55,Dortmund,Schalke 04,0.0
56,Dortmund,RB Leipzig,0.0
57,Dortmund,FC Bayern,0.0
58,Dortmund,Borussia Dortmund,0.47058823529411764
59,Dortmund,VfL Wolfsburg,0.15384615384615385
60,Dortmund,Arminia Bielefeld,0.11764705882352944
61,Dortmund,Hoffenheim,0.09999999999999998
62,Dortmund,Bayer 04,0.0
63,Dortmund,Eintracht Frankfurt,0.1578947368421053
64,Dortmund,SC Freiburg,0.18181818181818177
65,Dortmund,SV Werder,0.0
66,Dortmund,Hertha BSC,0.19999999999999996
67,Dortmund,1. FC Köln,0.0
68,Dortmund,Mainz 05,0.0
69,Dortmund,Borussia M'gladbach,0.1578947368421053
70,Dortmund,Union Berlin,0.08333333333333337
71,Dortmund,VfB Stuttgart,0.07692307692307687
72,Ein Frankfurt,FC Augsburg,0.23076923076923073
73,Ein Frankfurt,Schalke 04,0.15384615384615385
74,Ein Frankfurt,RB Leipzig,0.07692307692307687
75,Ein Frankfurt,FC Bayern,0.23076923076923073
76,Ein Frankfurt,Borussia Dortmund,0.11764705882352944
77,Ein Frankfurt,VfL Wolfsburg,0.23076923076923073
78,Ein Frankfurt,Arminia Bielefeld,0.23529411764705888
79,Ein Frankfurt,Hoffenheim,0.07692307692307687
80,Ein Frankfurt,Bayer 04,0.07692307692307687
81,Ein Frankfurt,Eintracht Frankfurt,0.6842105263157895
82,Ein Frankfurt,SC Freiburg,0.3846153846153846
83,Ein Frankfurt,SV Werder,0.15384615384615385
84,Ein Frankfurt,Hertha BSC,0.07692307692307687
85,Ein Frankfurt,1. FC Köln,0.15384615384615385
86,Ein Frankfurt,Mainz 05,0.07692307692307687
87,Ein Frankfurt,Borussia M'gladbach,0.10526315789473684
88,Ein Frankfurt,Union Berlin,0.07692307692307687
89,Ein Frankfurt,VfB Stuttgart,0.23076923076923073
90,FC Koln,FC Augsburg,0.2727272727272727
91,FC Koln,Schalke 04,0.0
92,FC Koln,RB Leipzig,0.09999999999999998
93,FC Koln,FC Bayern,0.4444444444444444
94,FC Koln,Borussia Dortmund,0.17647058823529416
95,FC Koln,VfL Wolfsburg,0.23076923076923073
96,FC Koln,Arminia Bielefeld,0.11764705882352944
97,FC Koln,Hoffenheim,0.0
98,FC Koln,Bayer 04,0.0
99,FC Koln,Eintracht Frankfurt,0.10526315789473684
100,FC Koln,SC Freiburg,0.18181818181818177
101,FC Koln,SV Werder,0.11111111111111116
102,FC Koln,Hertha BSC,0.0
103,FC Koln,1. FC Köln,0.6
104,FC Koln,Mainz 05,0.0
105,FC Koln,Borussia M'gladbach,0.10526315789473684
106,FC Koln,Union Berlin,0.25
107,FC Koln,VfB Stuttgart,0.07692307692307687
108,Freiburg,FC Augsburg,0.4545454545454546
109,Freiburg,Schalke 04,0.0
110,Freiburg,RB Leipzig,0.30000000000000004
111,Freiburg,FC Bayern,0.2222222222222222
112,Freiburg,Borussia Dortmund,0.17647058823529416
113,Freiburg,VfL Wolfsburg,0.3076923076923077
114,Freiburg,Arminia Bielefeld,0.11764705882352944
115,Freiburg,Hoffenheim,0.09999999999999998
116,Freiburg,Bayer 04,0.0
117,Freiburg,Eintracht Frankfurt,0.21052631578947367
118,Freiburg,SC Freiburg,0.7272727272727273
119,Freiburg,SV Werder,0.11111111111111116
120,Freiburg,Hertha BSC,0.09999999999999998
121,Freiburg,1. FC Köln,0.0
122,Freiburg,Mainz 05,0.0
123,Freiburg,Borussia M'gladbach,0.1578947368421053
124,Freiburg,Union Berlin,0.08333333333333337
125,Freiburg,VfB Stuttgart,0.15384615384615385
126,Hertha,FC Augsburg,0.0
127,Hertha,Schalke 04,0.0
128,Hertha,RB Leipzig,0.09999999999999998
129,Hertha,FC Bayern,0.0
130,Hertha,Borussia Dortmund,0.11764705882352944
131,Hertha,VfL Wolfsburg,0.0
132,Hertha,Arminia Bielefeld,0.05882352941176472
133,Hertha,Hoffenheim,0.19999999999999996
134,Hertha,Bayer 04,0.25
135,Hertha,Eintracht Frankfurt,0.1578947368421053
136,Hertha,SC Freiburg,0.09090909090909094
137,Hertha,SV Werder,0.2222222222222222
138,Hertha,Hertha BSC,0.6
139,Hertha,1. FC Köln,0.0
140,Hertha,Mainz 05,0.0
141,Hertha,Borussia M'gladbach,0.10526315789473684
142,Hertha,Union Berlin,0.16666666666666663
143,Hertha,VfB Stuttgart,0.15384615384615385
144,Hoffenheim,FC Augsburg,0.0
145,Hoffenheim,Schalke 04,0.0
146,Hoffenheim,RB Leipzig,0.19999999999999996
147,Hoffenheim,FC Bayern,0.09999999999999998
148,Hoffenheim,Borussia Dortmund,0.11764705882352944
149,Hoffenheim,VfL Wolfsburg,0.07692307692307687
150,Hoffenheim,Arminia Bielefeld,0.11764705882352944
151,Hoffenheim,Hoffenheim,1.0
152,Hoffenheim,Bayer 04,0.09999999999999998
153,Hoffenheim,Eintracht Frankfurt,0.052631578947368474
154,Hoffenheim,SC Freiburg,0.09090909090909094
155,Hoffenheim,SV Werder,0.19999999999999996
156,Hoffenheim,Hertha BSC,0.09999999999999998
157,Hoffenheim,1. FC Köln,0.0
158,Hoffenheim,Mainz 05,0.09999999999999998
159,Hoffenheim,Borussia M'gladbach,0.052631578947368474
160,Hoffenheim,Union Berlin,0.16666666666666663
161,Hoffenheim,VfB Stuttgart,0.0
162,Leverkusen,FC Augsburg,0.0
163,Leverkusen,Schalke 04,0.09999999999999998
164,Leverkusen,RB Leipzig,0.0
165,Leverkusen,FC Bayern,0.09999999999999998
166,Leverkusen,Borussia Dortmund,0.05882352941176472
167,Leverkusen,VfL Wolfsburg,0.07692307692307687
168,Leverkusen,Arminia Bielefeld,0.05882352941176472
169,Leverkusen,Hoffenheim,0.0
170,Leverkusen,Bayer 04,0.19999999999999996
171,Leverkusen,Eintracht Frankfurt,0.10526315789473684
172,Leverkusen,SC Freiburg,0.09090909090909094
173,Leverkusen,SV Werder,0.19999999999999996
174,Leverkusen,Hertha BSC,0.09999999999999998
175,Leverkusen,1. FC Köln,0.09999999999999998
176,Leverkusen,Mainz 05,0.0
177,Leverkusen,Borussia M'gladbach,0.0
178,Leverkusen,Union Berlin,0.08333333333333337
179,Leverkusen,VfB Stuttgart,0.07692307692307687
180,M'gladbach,FC Augsburg,0.09090909090909094
181,M'gladbach,Schalke 04,0.0
182,M'gladbach,RB Leipzig,0.0
183,M'gladbach,FC Bayern,0.09999999999999998
184,M'gladbach,Borussia Dortmund,0.05882352941176472
185,M'gladbach,VfL Wolfsburg,0.15384615384615385
186,M'gladbach,Arminia Bielefeld,0.05882352941176472
187,M'gladbach,Hoffenheim,0.0
188,M'gladbach,Bayer 04,0.0
189,M'gladbach,Eintracht Frankfurt,0.10526315789473684
190,M'gladbach,SC Freiburg,0.09090909090909094
191,M'gladbach,SV Werder,0.0
192,M'gladbach,Hertha BSC,0.0
193,M'gladbach,1. FC Köln,0.0
194,M'gladbach,Mainz 05,0.09999999999999998
195,M'gladbach,Borussia M'gladbach,0.5263157894736843
196,M'gladbach,Union Berlin,0.0
